,season,pday,count
1220,1997,11,9
1221,1997,12,9
1222,1997,13,9
1223,1997,14,9
1224,1997,15,9
1225,1997,16,9
1226,1997,17,9
1227,1997,18,9
1228,1997,19,9
1229,1997,20,9
1230,1997,21,9
1231,1997,22,9
1232,1997,23,9
1233,1997,24,9
1234,1997,25,9
1235,1997,26,9
1236,1997,27,9
1237,1997,28,9
1238,1997,29,9
1239,1997,30,9
1240,1997,31,9
1241,1997,32,9
1242,1997,33,9
1243,1997,34,9
1244,1998,1,9
1245,1998,2,9
1246,1998,3,9
1247,1998,4,9
1248,1998,5,9
1249,1998,6,9
1250,1998,7,9
1251,1998,8,9
1252,1998,9,9
1253,1998,10,9
1254,1998,11,9
1255,1998,12,9
1256,1998,13,9
1257,1998,14,9
1258,1998,15,9
1259,1998,16,9
1260,1998,17,9
1261,1998,18,9
1262,1998,19,9
1263,1998,20,9
1264,1998,21,9
1265,1998,22,9
1266,1998,23,9
1267,1998,24,9
1268,1998,25,9
1269,1998,26,9
1270,1998,27,9
1271,1998,28,9
1272,1998,29,9
1273,1998,30,9
1274,1998,31,9
1275,1998,32,9
1276,1998,33,9
1277,1998,34,9
1278,1999,1,9
1279,1999,2,9
1280,1999,3,9
1281,1999,4,9
1282,1999,5,9
1283,1999,6,9
1284,1999,7,9
1285,1999,8,9
1286,1999,9,9
1287,1999,10,9
1288,1999,11,9
1289,1999,12,9
1290,1999,13,9
1291,1999,14,9
1292,1999,15,9
1293,1999,16,9
1294,1999,17,9
1295,1999,18,9
1296,1999,19,9
1297,1999,20,9
1298,1999,21,9
1299,1999,22,9
1300,1999,23,9
1301,1999,24,9
1302,1999,25,9
1303,1999,26,9
1304,1999,27,9
1305,1999,28,9
1306,1999,29,9
1307,1999,30,9
1308,1999,31,9
1309,1999,32,9
1310,1999,33,9
1311,1999,34,9
1312,2000,1,9
1313,2000,2,9
1314,2000,3,9
1315,2000,4,9
1316,2000,5,9
1317,2000,6,9
1318,2000,7,9
1319,2000,8,9
1320,2000,9,9
1321,2000,10,9
1322,2000,11,9
1323,2000,12,9
1324,2000,13,9
1325,2000,14,9
1326,2000,15,9
1327,2000,16,9
1328,2000,17,9
1329,2000,18,9
1330,2000,19,9
1331,2000,20,9
1332,2000,21,9
1333,2000,22,9
1334,2000,23,9
1335,2000,24,9
1336,2000,25,9
1337,2000,26,9
1338,2000,27,9
1339,2000,28,9
1340,2000,29,9
1341,2000,30,9
1342,2000,31,9
1343,2000,32,9
1344,2000,33,9
1345,2000,34,9
1346,2001,1,9
1347,2001,2,9
1348,2001,3,9
1349,2001,4,9
1350,2001,5,9
1351,2001,6,9
1352,2001,7,9
1353,2001,8,9
1354,2001,9,9
1355,2001,10,9
1356,2001,11,9
1357,2001,12,9
1358,2001,13,9
1359,2001,14,9
1360,2001,15,9
1361,2001,16,9
1362,2001,17,9
1363,2001,18,9
1364,2001,19,9
1365,2001,20,9
1366,2001,21,9
1367,2001,22,9
1368,2001,23,9
1369,2001,24,9
1370,2001,25,9
1371,2001,26,9
1372,2001,27,9
1373,2001,28,9
1374,2001,29,9
1375,2001,30,9
1376,2001,31,9
1377,2001,32,9
1378,2001,33,9
1379,2001,34,9
1380,2002,1,9
1381,2002,2,9
1382,2002,3,9
1383,2002,4,9
1384,2002,5,9
1385,2002,6,9
1386,2002,7,9
1387,2002,8,9
1388,2002,9,9
1389,2002,10,9
1390,2002,11,9
1391,2002,12,9
1392,2002,13,9
1393,2002,14,9
1394,2002,15,9
1395,2002,16,9
1396,2002,17,9
1397,2002,18,9
1398,2002,19,9
1399,2002,20,9
1400,2002,21,9
1401,2002,22,9
1402,2002,23,9
1403,2002,24,9
1404,2002,25,9
1405,2002,26,9
1406,2002,27,9
1407,2002,28,9
1408,2002,29,9
1409,2002,30,9
1410,2002,31,9
1411,2002,32,9
1412,2002,33,9
1413,2002,34,9
1414,2003,1,9
1415,2003,2,9
1416,2003,3,9
1417,2003,4,9
1418,2003,5,9
1419,2003,6,9
1420,2003,7,9
1421,2003,8,9
1422,2003,9,9
1423,2003,10,9
1424,2003,11,9
1425,2003,12,9
1426,2003,13,9
1427,2003,14,9
1428,2003,15,9
1429,2003,16,9
1430,2003,17,9
1431,2003,18,9
1432,2003,19,9
1433,2003,20,9
1434,2003,21,9
1435,2003,22,9
1436,2003,23,9
1437,2003,24,9
1438,2003,25,9
1439,2003,26,9
1440,2003,27,9
1441,2003,28,9
1442,2003,29,9
1443,2003,30,9
1444,2003,31,9
1445,2003,32,9
1446,2003,33,9
1447,2003,34,9
1448,2004,1,9
1449,2004,2,9
1450,2004,3,9
1451,2004,4,9
1452,2004,5,9
1453,2004,6,9
1454,2004,7,9
1455,2004,8,9
1456,2004,9,9
1457,2004,10,9
1458,2004,11,9
1459,2004,12,9
1460,2004,13,9
1461,2004,14,9
1462,2004,15,9
1463,2004,16,9
1464,2004,17,9
1465,2004,18,9
1466,2004,19,9
1467,2004,20,9
1468,2004,21,9
1469,2004,22,9
1470,2004,23,9
1471,2004,24,9
1472,2004,25,9
1473,2004,26,9
1474,2004,27,9
1475,2004,28,9
1476,2004,29,9
1477,2004,30,9
1478,2004,31,9
1479,2004,32,9
1480,2004,33,9
1481,2004,34,9
1482,2005,1,9
1483,2005,2,9
1484,2005,3,9
1485,2005,4,9
1486,2005,5,9
1487,2005,6,9
1488,2005,7,9
1489,2005,8,9
1490,2005,9,9
1491,2005,10,9
1492,2005,11,9
1493,2005,12,9
1494,2005,13,9
